Covariate alias	Description	Dataset name	Citation	Link	Category
P_available_5cm	"Available phosphorus (mg/kg); 0-5cm layer of soil; 3"" resolution"	"Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1"	"Zund, Peter (2022): Soil and Landscape Grid National Soil Attribute Maps - Available Phosphorus (3"" resolution) - Release 1. v1. CSIRO. Data Collection. "	https://doi.org/10.25919/6qzh-b979	Soil chemistry
pH_CaCl2_15cm	"pH of 1:5 soil/0.01M calcium chloride extract; 5-15cm layer of soil; 3"" resolution"	"Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1"	"Viscarra Rossel, Raphael; Chen, Charlie; Grundy, Mike; Searle, Ross; Clifford, David (2014): Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1. v3. CSIRO. Data Collection. "	https://doi.org/10.4225/08/5aaf553b63215	Soil chemistry
pH_CaCl2_5cm	"pH of 1:5 soil/0.01M calcium chloride extract; 0-5cm layer of soil; 3"" resolution"	"Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1"	"Viscarra Rossel, Raphael; Chen, Charlie; Grundy, Mike; Searle, Ross; Clifford, David (2014): Soil and Landscape Grid Australia-Wide 3D Soil Property Maps (3"" resolution) - Release 1. v3. CSIRO. Data Collection. "	https://doi.org/10.4225/08/5aaf553b63215	Soil chemistry
POC_proportion_15cm	"Proportions of mineral-associated organic carbon (MAOC), particulate organic carbon (POC) and pyrogenic organic carbon (PyOC) (%); 5-15cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1"	"Roman Dobarco, Mercedes; Wadoux, Alexandre; Malone, Brendan; Minasny, Budiman; McBratney, Alex; Searle, Ross (2022): Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1. v5. CSIRO. Data Collection."	https://doi.org/10.25919/fa46-ey49	Soil chemistry
POC_proportion_5cm	"Proportions of mineral-associated organic carbon (MAOC), particulate organic carbon (POC) and pyrogenic organic carbon (PyOC) (%); 0-5cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1"	"Roman Dobarco, Mercedes; Wadoux, Alexandre; Malone, Brendan; Minasny, Budiman; McBratney, Alex; Searle, Ross (2022): Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1. v5. CSIRO. Data Collection."	https://doi.org/10.25919/fa46-ey49	Soil chemistry
PyOC_proportion_15cm	"Proportions of mineral-associated organic carbon (MAOC), particulate organic carbon (POC) and pyrogenic organic carbon (PyOC) (%); 5-15cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1"	"Roman Dobarco, Mercedes; Wadoux, Alexandre; Malone, Brendan; Minasny, Budiman; McBratney, Alex; Searle, Ross (2022): Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1. v5. CSIRO. Data Collection."	https://doi.org/10.25919/fa46-ey49	Soil chemistry
PyOC_proportion_5cm	"Proportions of mineral-associated organic carbon (MAOC), particulate organic carbon (POC) and pyrogenic organic carbon (PyOC) (%); 0-5cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1"	"Roman Dobarco, Mercedes; Wadoux, Alexandre; Malone, Brendan; Minasny, Budiman; McBratney, Alex; Searle, Ross (2022): Soil and Landscape Grid National Soil Attribute Maps - Soil Organic Carbon Fractions (3"" resolution) - Release 1. v5. CSIRO. Data Collection."	https://doi.org/10.25919/fa46-ey49	Soil chemistry
SOC_15cm	"Mass fraction of carbon by weight in the < 2 mm soil material (%), as determined by dry combustion at 900 Celcius; 5-15cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Organic Carbon (3"" resolution) - Release 2 "	"Wadoux, Alexandre; Roman Dobarco, Mercedes; Malone, Brendan; Minasny, Budiman; McBratney, Alex; Searle, Ross (2022): Soil and Landscape Grid National Soil Attribute Maps - Organic Carbon (3"" resolution) - Release 2. v2. CSIRO. Data Collection."	https://doi.org/10.25919/ejhm-c070	Soil chemistry
SOC_5cm	"Mass fraction of carbon by weight in the < 2 mm soil material (%), as determined by dry combustion at 900 Celcius; 0-5cm layer of soil; 3"" resolution"	"Soil and Landscape Grid National Soil Attribute Maps - Organic Carbon (3"" resolution) - Release 2 "	"Wadoux, Alexandre; Roman Dobarco, Mercedes; Malone, Brendan; Minasny, Budiman; McBratney, Alex; Searle, Ross (2022): Soil and Landscape Grid National Soil Attribute Maps - Organic Carbon (3"" resolution) - Release 2. v2. CSIRO. Data Collection."	https://doi.org/10.25919/ejhm-c070	Soil chemistry
elevation	"Elevation (m); 3"" resolution"	3 second SRTM Derived Digital Elevation Model (DEM) Version 1.0 	"Gallant, J., Wilson, N., Tickle, P.K., Dowling, T., Read, A. 2009. 3 second SRTM Derived Digital Elevation Model (DEM) Version 1.0. Record 1.0. Geoscience Australia, Canberra."	https://pid.geoscience.gov.au/dataset/ga/69888	Geography
vegetation_cover	"Total woody vegetation cover (%); 1"" resolution; percent cover = (woody_veg_cover - 100) / 100"	"Vegetation Height and Structure - Derived from ALOS-1 PALSAR, Landsat and ICESat/GLAS, Australia Coverage"	"Scarth, P., Armston, J., Lucas, R. & Bunting, P. (2023): Vegetation Height and Structure - Derived from ALOS-1 PALSAR, Landsat and ICESat/GLAS, Australia Coverage. Version 1.0. Terrestrial Ecosystem Research Network. (Dataset)."	https://portal.tern.org.au/metadata/TERN/de1c2fef-b129-485e-9042-8b22ee616e66	Vegetation
kpnall	Koeppen climate classification	"9-arcsecond gridded HCAS 2.3 (2001-2018) base model estimation of habitat condition for terrestrial biodiversity, ecosystem site condition, annual epochs and 18-year trends for continental Australia"	"Bureau of Meteorology, Australian climate classification maps, Australian Government"	https://www.bom.gov.au/climate/maps/averages/climate-classification/	Climate
habitat_condition	"Estimation of habitat condition for terrestrial biodiversity; 2001-2018; 9"" resolution"	"9-arcsecond gridded HCAS 2.3 (2001-2018) base model estimation of habitat condition for terrestrial biodiversity, ecosystem site condition, annual epochs and 18-year trends for continental Australia"	"Harwood, Tom; Williams, Kristen; Lehmann, Eric; Ware, Chris; Lyon, Peter; Bakar, Shuvo; Pinner, Luke; Schmidt, Becky; Mokany, Karel; Van Niel, Tom; Richards, Anna; Dickson, Fiona; McVicar, Tim; Ferrier, Simon (2021): 9 arcsecond gridded HCAS 2.1 (2001-2018) base model estimation of habitat condition for terrestrial biodiversity, 18-year trend and 2010-2015 epoch change for continental Australia. v7. CSIRO. Data Collection."	https://doi.org/10.25919/nkjf-f088	Habitat
iucn_habitatclassification	IUNC habitat classification	A global map of terrestrial habitat types	"Jung, M., Dahal, P.R., Butchart, S.H.M. et al. A global map of terrestrial habitat types. Sci Data 7, 256 (2020)."	https://doi.org/10.1038/s41597-020-00599-8	Habitat
Ecoregions2017	RESOLVE ecoregions	A map of Earth's 846 terrestrial ecoregions	"Dinerstein, E., Olson, D., Joshi, A., Vynne, C., Burgess, N. D., Wikramanayake, E., ... & Saleem, M. (2017). An ecoregion-based approach to protecting half the terrestrial realm. BioScience, 67(6), 534-545."	https://doi.org/10.1093/biosci/bix014	Ecoregion
ibra7_regions	Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Regions)	A landscape based approach to classifying the land surface of Australia into 89 biogeographic regions and 419 sub regions	"Department of Climate Change, Energy, the Environment and Water. (2023). Interim Biogeographic Regionalisation for Australia (IBRA), Version 7 (Regions) [Dataset]. Australian Government."	https://fed.dcceew.gov.au/datasets/8f7e2436a6d5436ca001fa7f2aee3fd8/about	Bioregion
