family	genus	AM	EcM	Dual	NM	consensus_mycorrhizal_type	consensus_type_proportion	fungal_root_mycorrhizal_type	match
Loranthaceae	Nuytsia	0	0	0	1	NM	1	NM	TRUE
Lythraceae	Lagerstroemia	1	0	0	0	AM	1	AM	TRUE
Lythraceae	Sonneratia	2	0	0	0	AM	1	AM	TRUE
Malvaceae	Brachychiton	2	0	0	0	AM	1	AM	TRUE
Malvaceae	Franciscodendron	1	0	0	0	AM	1	AM	TRUE
Malvaceae	Helicteres	1	0	0	0	AM	1	AM	TRUE
Malvaceae	Heritiera	3	0	0	0	AM	1	AM	TRUE
Malvaceae	Hibiscus	1	0	0	0	AM	1	AM	TRUE
Malvaceae	Thespesia	1	0	0	0	AM	1	AM	TRUE
Meliaceae	Aglaia	1	0	0	0	AM	1	AM	TRUE
Meliaceae	Melia	1	0	0	0	AM	1	AM	TRUE
Meliaceae	Owenia	0	0	1	0	Dual	1	AM	FALSE
Meliaceae	Synoum	1	0	0	0	AM	1	AM	TRUE
Meliaceae	Toona	1	0	0	0	AM	1	AM	TRUE
Metteniusaceae	Apodytes	1	0	0	0	AM	1	AM	TRUE
Moraceae	Antiaris	1	0	0	0	AM	1	AM	TRUE
Moraceae	Ficus	7	0	0	0	AM	1	AM	TRUE
Myrtaceae	Allosyncarpia	0	1	0	0	EcM	1	EcM	TRUE
Myrtaceae	Asteromyrtus	1	0	0	0	AM	1	Dual	FALSE
Myrtaceae	Calytrix	1	0	0	0	AM	1	Dual	FALSE
Myrtaceae	Corymbia	0	3	0	0	EcM	1	EcM	TRUE
Myrtaceae	Eucalyptus	0	19	5	0	EcM	0.791666666666667	EcM	TRUE
Myrtaceae	Hypocalymma	1	0	0	0	AM	1	AM	TRUE
Myrtaceae	Leptospermum	0	0	2	0	Dual	1	Dual	TRUE
Myrtaceae	Melaleuca	0	1	5	0	Dual	0.833333333333333	Dual	TRUE
Myrtaceae	Rhodomyrtus	1	0	0	0	AM	1	AM	TRUE
Myrtaceae	Syzygium	12	0	0	0	AM	1	AM	TRUE
Myrtaceae	Verticordia	2	0	0	0	AM	1	AM	TRUE
Myrtaceae	Xanthostemon	1	0	0	0	AM	1	Dual	FALSE
Nothofagaceae	Nothofagus	0	2	0	0	EcM	1	EcM	TRUE
Olacaceae	Ximenia	1	0	0	0	AM	1	AM	TRUE
Oleaceae	Chionanthus	1	0	0	0	AM	1	AM	TRUE
Oleaceae	Olea	1	0	0	0	AM	1	AM	TRUE
Pandanaceae	Pandanus	2	0	0	0	AM	1	AM	TRUE
Phyllanthaceae	Antidesma	2	0	0	0	AM	1	AM	TRUE
Phyllanthaceae	Aporosa	1	0	0	0	AM	1	AM	TRUE
Phyllanthaceae	Bischofia	1	0	0	0	AM	1	AM	TRUE
Phyllanthaceae	Flueggea	1	0	0	0	AM	1	AM	TRUE
Phyllanthaceae	Glochidion	1	0	0	0	AM	1	AM	TRUE
Picrodendraceae	Petalostigma	1	0	0	0	AM	1	AM	TRUE
Pittosporaceae	Bursaria	1	0	0	0	AM	1	AM	TRUE
Podocarpaceae	Lagarostrobos	1	0	0	0	AM	1	AM	TRUE
Podocarpaceae	Podocarpus	2	0	0	0	AM	1	AM	TRUE
Primulaceae	Myrsine	1	0	0	0	AM	1	AM	TRUE
Proteaceae	Banksia	0	0	0	3	NM	1	NM	TRUE
Proteaceae	Cardwellia	0	0	0	1	NM	1	NM	TRUE
Proteaceae	Darlingia	0	0	0	1	NM	1	NM	TRUE
Proteaceae	Grevillea	0	0	0	2	NM	1	NM	TRUE
Proteaceae	Hakea	0	0	0	1	NM	1	NM	TRUE
Proteaceae	Lomatia	0	0	0	1	NM	1	NM	TRUE
Proteaceae	Macadamia	2	0	0	0	AM	1	AM	TRUE
Proteaceae	Orites	0	0	0	1	NM	1	NM	TRUE
Proteaceae	Persoonia	0	0	0	1	NM	1	NM	TRUE
Proteaceae	Placospermum	0	0	0	1	NM	1	NM	TRUE
Proteaceae	Stenocarpus	0	0	0	1	NM	1	NM	TRUE
Proteaceae	Xylomelum	0	0	0	1	NM	1	NM	TRUE
Rhamnaceae	Alphitonia	1	0	0	0	AM	1	AM	TRUE
Rhamnaceae	Ziziphus	1	0	0	0	AM	1	AM	TRUE
Rhizophoraceae	Bruguiera	3	0	0	0	AM	1	AM	TRUE
Rhizophoraceae	Carallia	1	0	0	0	AM	1	AM	TRUE
Rhizophoraceae	Ceriops	1	0	0	0	AM	1	AM	TRUE
Rhizophoraceae	Rhizophora	2	0	0	0	AM	1	AM	TRUE
Rubiaceae	Aidia	1	0	0	0	AM	1	AM	TRUE
Rubiaceae	Atractocarpus	2	0	0	0	AM	1	AM	TRUE
Rubiaceae	Coprosma	1	0	0	0	AM	1	AM	TRUE
Rubiaceae	Cyclophyllum	1	0	0	0	AM	1	AM	TRUE
Rubiaceae	Gardenia	3	0	0	0	AM	1	AM	TRUE
Rubiaceae	Morinda	1	0	0	0	AM	1	AM	TRUE
Rubiaceae	Psydrax	2	0	0	0	AM	1	AM	TRUE
Rubiaceae	Timonius	1	0	0	0	AM	1	AM	TRUE
Rutaceae	Acronychia	1	0	0	0	AM	1	AM	TRUE
Rutaceae	Flindersia	5	0	0	0	AM	1	AM	TRUE
Rutaceae	Glycosmis	1	0	0	0	AM	1	AM	TRUE
Rutaceae	Halfordia	1	0	0	0	AM	1	AM	TRUE
Rutaceae	Melicope	1	0	0	0	AM	1	AM	TRUE
Rutaceae	Micromelum	1	0	0	0	AM	1	AM	TRUE
Rutaceae	Murraya	1	0	0	0	AM	1	AM	TRUE
Rutaceae	Zanthoxylum	1	0	0	0	AM	1	AM	TRUE
Santalaceae	Exocarpos	0	1	0	0	EcM	1	AM	FALSE
Santalaceae	Santalum	1	0	0	0	AM	1	AM	TRUE
Sapindaceae	Castanospora	1	0	0	0	AM	1	AM	TRUE
Sapindaceae	Dodonaea	0	0	1	0	Dual	1	AM	FALSE
Sapindaceae	Ganophyllum	1	0	0	0	AM	1	AM	TRUE
Sapindaceae	Harpullia	1	0	0	0	AM	1	AM	TRUE
Sapindaceae	Lepisanthes	2	0	0	0	AM	1	AM	TRUE
Sapindaceae	Mischocarpus	1	0	0	0	AM	1	AM	TRUE
Sapotaceae	Mimusops	1	0	0	0	AM	1	AM	TRUE
Sapotaceae	Planchonella	2	0	0	0	AM	1	AM	TRUE
Sapotaceae	Pleioluma	1	0	0	0	AM	1	AM	TRUE
Scrophulariaceae	Eremophila	1	0	0	0	AM	1	AM	TRUE
Scrophulariaceae	Myoporum	1	0	0	0	AM	1	AM	TRUE
Scrophulariaceae	Myoporum	1	0	0	0	AM	1	uncertain	FALSE
Simaroubaceae	Brucea	1	0	0	0	AM	1	AM	TRUE
Surianaceae	Suriana	1	0	0	0	AM	1	AM	TRUE
Symplocaceae	Symplocos	1	0	0	0	AM	1	AM	TRUE
Tetramelaceae	Tetrameles	1	0	0	0	AM	1	AM	TRUE
Thymelaeaceae	Phaleria	1	0	0	0	AM	1	AM	TRUE
Urticaceae	Pipturus	1	0	0	0	AM	1	AM	TRUE
Vitaceae	Leea	1	0	0	0	AM	1	AM	TRUE
Zamiaceae	Lepidozamia	1	0	0	0	AM	1	AM	TRUE
